firstname,male,female
abu'l-harith,1,0
abu'l-hasan,9,0
abu'l-husain,1,0
abu'l-ma'ali,1,0
abu'l-musafir,1,0
abu'l-najm,1,0
abu'l-nasr,1,0
abu'l-qasim,2,0
abu'l-qásim,1,0
abu'l-qāsim,1,0
abu'l-tayyib,1,0
abu-abdullah,1,0
abu-al-faraj,0,0
abu-ali,1,0
abu-bakarr,1,0
abu-bakr,2,0
abu-l-'atahiya,1,0
abu-l-hasan,2,0
abu-l-qasim,1,0
abu-mansur,1,0
abu-shakur,1,0
abubakar,39,0
abubakari,2,0
abubakarr,2,0
abubaker,1,0
abubakr,1,0
abubus,1,0
abuchi,1,0
abuda,1,0
abudramae,1,0
abudureyimu,1,0
abuhena,1,0
abui,0,0
abuja,0,0
abukar,1,0
abukari,1,0
abukhadzhi,1,0
abul,42,0
abul-abbas,1,0
abul-aish,1,0
abul-hasan,0,0
abul-qasim,1,0
abulchares,1,0
abulfas,1,0
abulfaz,1,0
abulgasim,1,0
abulhasan,0,0
abulhassan,0,0
abulites,1,0
abulkalam,1,0
abumuslim,0,0
abuna,3,0
abundio,2,0
abune,5,0
abureti,1,0
aburizal,1,0
abusahl-hamazasp,1,0
abusaid,1,0
abushiri,1,0
abuukar,1,0
abuzar,1,0
abuzed,1,0
aby,3,2
abya,0,0
abyale,0,1
abyss,1,0
abyssinian,1,0
abyssinian–adal,1,0
abz,1,0
abzal,3,0
abzhui,0,0
abílio,5,0
abú,1,0
abû,2,0
abāmūn,1,0
abū,7,0
abū-sa'īd,1,0
ac,0,1
aca,3,0
acac,0,0
acacia,0,0
acacio,1,0
acacius,6,0
academic,1,0
academy,0,0
acadian,1,0
acadians,1,0
acaimo,1,0
acala,1,0
acalus,1,0
acamapichtli,1,0
acamas,3,0
acanthus,1,0
acarius,1,0
acaste,1,0
acaxee,1,0
accamma,0,1
accepted,1,0
access,1,0
acco,1,0
accohannock,0,0
accokeek,0,0
accommodation,0,0
according,1,0
accursio,1,0
accursius,1,0
ace,31,2
acee,1,0
aceh,1,0
acehnese,0,0
acel,0,1
acelino,1,0
acen,1,0
acephalous,0,0
acepsimas,1,0
acer,1,0
acesas,1,0
acestorides,1,0
acey,1,0
aceyalone,1,0
acfred,2,0
ach,1,0
acha,0,1
achaeans,2,0
achaei,0,0
achaemenes,2,0
achaeus,2,0
achagua,0,0
achaicus,1,0
achal,3,0
achala,0,2
achamillai,1,0
achamma,0,1
achan,2,0
acharath,1,0
achard,1,0
acharya,12,2
acharyan,1,0
acharyasri,1,0
achbor,1,0
achdiat,1,0
achdé,1,0
achebe,1,0
acheikh,1,0
achemez,1,0
achenyo,0,1
achero,1,0
aches,1,0
acheson,2,0
achey,1,0
achhar,1,0
achherr,0,0
achhroo,1,0
achi,2,0
achiel,0,0
achieng,1,1
achike,1,0
achila,1,0
achilla,1,0
achillas,1,0
achille,70,0
achille-ferdinand,1,0
achille-félix,1,0
achille-louis-joseph,1,0
achilleas,8,0
achilles,11,0
achilleus,1,0
achim,20,0
achimelech,1,0
achini,0,2
achinoam,0,1
achint,0,1
achintya,1,1
achish,1,0
achito,1,0
achiyalabopa,0,0
achiyalatopa,0,0
achkar,1,0
achmad,4,0
achmat,2,0
achmed,3,0
acho,1,0
achol,0,1
acholi,1,0
achomi,0,0
achour,0,0
achraf,5,0
achsah,0,2
achton,1,0
achu,1,0
achuar,1,0
achuta,0,1
achuth,1,0
achuthanand,1,0
achy,0,1
achyut,6,0
achyuta,3,0
achyutanand,1,0
achyuth,1,0
aché,0,0
achérif,0,0
acie,2,0
acija,0,1
acindynus,1,0
acir,0,0
acisclo,1,0
ack,1,0
ackbar,2,0
acker,1,0
